Mine Name,Mine_Type,Overall_Risk_Score,Risk_Category,Risk_Drivers,Confidence_Score,Inspection_Priority,AI_Preventive_Recommendation
Jambad UG Colliery,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jamkhani Coal Mine,Opencast,29.723839619025245,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jampali,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jamuna 9 & 10 Jamuna RO,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Jarangdih OC,Opencast,9.72906430972836,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Jawahar Khani OC-5,",Opencast,17.251837312455383,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jayant Project,Opencast,75.49501201380124,HIGH,"Operational indicator, Peer production anomaly",60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize further assessment and focused inspection based on the identified risk indicators.
Jhanjra Project Colliery,Underground,,Insufficient Evidence,Peer production anomaly,0.0,INSUFFICIENT EVIDENCE,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Collect additional evidence before making a risk-based inspection decision.
Jharkhand OCP,Opencast,4.00228740870444,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jhilimili Colliery,Underground,3.5204855940225848,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jhingurda Project,Opencast,2.79778287199981,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jhiria,Underground,4.002287408704437,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jitpur Colliery,Underground,4.484089223386293,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Jogidih,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Joyrampur,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
"Junad,",Opencast,9.06120646286389,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
K. Dewarkhand,Opencast,5.392847977591687,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kabribad OC,Opencast,4.911046162909832,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakatiya Khani-1 & 1A Incline,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakatiya Khani-5 Incline,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Kakatiya Khani-6, Incline",Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakatiya Khani-8 & 8A Incline,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakatiya Khani-OC II,Opencast,0.815730738114085,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakatiya Khani-OC-III,Opencast,9.24726249504651,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kakri Project,Opencast,15.083729146387045,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kalidaspur Project,Underground,4.48408922338629,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kalyan Khani OC,Opencast,6.652197389454627,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kalyan Khani-1 & 5 Incline,Underground,7.615801018818333,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kanchan OC,Opencast,4.670145255568907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kaniha OCP,Opencast,13.156521887659636,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kankanee,Opencast,2.0750801499770275,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kapasara,Opencast,7.13399920413648,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kapurdi,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kargali OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Karma,Opencast,1.593278335295175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
KARO SPL OC,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Karo-I OC,Opencast,9.783909184886667,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kasipet 1 Incline,Underground,4.00228740870444,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kasipet 2 Incline,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kathara Colly,Opencast,1.8341792426361,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kathautia Open Cast Coal Mine,Opencast,3.761386501363512,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Katkona 1 & 2,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kedla (OC),Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kedla UG,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kerandari,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Ketki,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khadia Project,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khairagura OC,Opencast,15.028884271228742,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khairaha,Underground,4.965891038068143,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
Khandra Colliery,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kharkharee,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khas Kajora Colliery,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khoodia,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khottadih OCP,Opencast,7.13399920413648,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Khottadih UG,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kistaram OC,Opencast,4.6701452555689045,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Kolarpimpri,",Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kolgaon OC,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kondapuram UG,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Koya Gundem OC II,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Krishnshila OCP,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kujama,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kuju Colliery,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kulda OCP Balinga,Opencast,4.965891038068143,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
Kumardhubi Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kumardihi-A Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kumda 7 & 8,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kunustoria Colliery,Underground,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kurasia UG,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Kurja/Sheetaldhara/Kapildhara,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Kusmunda Project,Opencast,100.0,CRITICAL,"Operational indicator, Peer production anomaly",60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Kuya,Opencast,3.038683779340743,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Laiyo UGP,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Lajkura OCP,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Lakhimata,Underground,4.72499013072722,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Lingaraj OCP,Opencast,19.846902418047208,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Lower Kenda Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Madhaipur,Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Madhaipur Mixed,Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Madhusudanpur 7 Pit & Incline,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Magadh OCP,Opencast,100.0,CRITICAL,Operational indicator,60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Mahadeopuri,Underground,5.929494667431849,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mahakali Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Maheshpur,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Makardhokra-I OC Expansion Mine,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Makardhokra-III OC MINE,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Mandarboni,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Manikpur,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Manki/Churi,Underground,6.893098296795552,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Manna Incline,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Manoharpur Coal Mine,Opencast,7.320055236319092,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Manuguru Opencast,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Marki Mangli - I Coal Mine,Opencast,9.302107370204816,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Marki Mangli III,Opencast,7.13399920413648,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mathani,Underground,3.0386837793407326,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Meera,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Methani Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Metica Coal Mine,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mohan (Mohan UG),Mixed,7.61580101881833,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mohanpur (Expn),Opencast,17.19699243729708,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Moher & Moher Amlohri Extn,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Moonidih,Underground,6.652197389454627,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mudidih,Opencast,1.35237742795425,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Mungoli OCM,Opencast,17.67879425197894,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
N.C.P.H. Colliery (NEW),Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nabakajora Colliery,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Naigaon OCM,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
NAKC,Mixed,2.797782871999808,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nakrakonda -Kumardihi 'B' UG,Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Nandgaon Incline,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Nandira Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Narsamuda Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Navapara,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Neelijay OCM,Opencast,3.761386501363517,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nehariya,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
New Godhur-Kusunda-Alkusa,Opencast,0.6296747059314725,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
New Kenda Colliery,Opencast,9.72906430972836,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
New Majri - I(A) & II Extn. (A) OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
New Majri UG to OC Expn.,Opencast,12.915620980318716,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
New Moghla Coal Mine,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
New Sethia,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Nichitpur,Opencast,3.5204855940225848,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nigahi Project,Opencast,4.965891038068143,LOW,Peer production anomaly,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Compare production activity with similar mines and review the cause of significant peer deviation. No immediate high-risk indicator detected; continue routine monitoring.
"Nimcha Colliery , Nimcha OC (Amkola) & Nimcha Highwall",Mixed,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Ningah Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Ningha (SSI) OC,Opencast,0.62967470593147,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nirsha,Opencast,8.579404648182038,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
North Searsole OC Colliery,Opencast,11.656271568455772,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
North Urimari/Birsa-OC,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Nowrozabad (W),Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
NTST-Jeenagora,Opencast,35.801207177706715,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Orient Mine No. 1 & 2,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Pacchwara North Coal Mine,Opencast,36.042108085047616,MEDIUM,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. Continue monitoring and conduct a focused review of the identified risk indicators.
Pachhwara Central Coal Mine,Opencast,94.28528278639352,CRITICAL,Operational indicator,60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Padampur OC,Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Padmavathi Khani No.5 Incline,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Pakri Barwadih,Opencast,69.23158842293714,HIGH,Operational indicator,60.0,MEDIUM,Review recent production trends and investigate unusual operational deviations. Prioritize further assessment and focused inspection based on the identified risk indicators.
Pali,Underground,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Pandaveswar UG,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Pandavpara Colliery,Underground,4.243188316045365,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Paoni II OCM,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Parasea Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Parbelia Colliery,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Parej East OCP,Opencast,5.447692852749995,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Parsa East and Kanta Basan OCM,Opencast,100.0,CRITICAL,Operational indicator,60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Patansaongi Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Patmohana Colliery,Underground,4.7249901307272175,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Penganga OC,Opencast,26.64697269875152,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
"Pimpalgaon,",Opencast,,Insufficient Evidence,No major risk indicator,0.0,INSUFFICIENT EVIDENCE,Collect additional evidence before making a risk-based inspection decision.
Pindra Colliery,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Piparia,Underground,5.688593760090923,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Porascol East Colliery,Underground,5.206791945409067,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Porascol West Colliery,Underground,5.20679194540907,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Prakasham Khani OC,Opencast,11.89717247579668,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Pundi,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Pure Searsole Colliery,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Purnadih,Opencast,8.338503740841112,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rajendra,Underground,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rajhara,Opencast,4.965891038068143,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
Rajmahal OCP,Opencast,100.0,CRITICAL,Operational indicator,60.0,HIGH,Review recent production trends and investigate unusual operational deviations. Prioritize focused inspection and immediate further assessment of the identified risk indicators.
Rajnagar RO,Underground,6.4112964821137,LOW,No major risk indicator,60.0,LOW,Review recent production trends and investigate unusual operational deviations. No immediate high-risk indicator detected; continue routine monitoring.
